text_id,text_kr,text_en,text_vi,text_ms,text_pt,text_es,annotation
1,MysteryBox,MysteryBox,Hộp bí ẩn,Kotak Misteri,Caixa Misteriosa,Caja misteriosa,게임 타이틀
1000,Touch Start,Touch Start,Chạm vào Bắt đầu,Sentuh Mula,Toque em Iniciar,Toque Inicio,팝업 - 터치시작
5000,화면 터치를 통해 획득 가능,Obtainable by touching the screen,Có thể đạt được bằng cách chạm vào màn hình,Boleh didapati dengan menyentuh skrin,Pode ser obtido tocando na tela,Se puede obtener tocando la pantalla,아이템 등장 위치
5001,합성을 통해 획득 가능,Obtainable through mix,Có thể đạt được thông qua tổng hợp,Boleh didapati melalui sintesis,Pode ser obtido através da síntese,Obtenible a través de la síntesis,
1000000,안내,Notice,Hướng dẫn,Panduan,orientação,orientación,시스템 메시지
1000001,확인,OK,sự xác nhận,Pengesahan,confirmação,confirmación,
1000002,취소,Cancel,Hủy bỏ,Pembatalan,cancelamento,cancelación,
1000003,게임 이용 약관,Term and Conditions,Điều khoản sử dụng trò chơi,Syarat Penggunaan Permainan,Termos de Uso do Jogo,Condiciones de uso del juego,
1100000,계속하려면 화면을 터치해 주세요,Please touch to screen,Chạm vào màn hình để tiếp tục,Sentuh skrin untuk meneruskan,Toque na tela para continuar,Toca la pantalla para continuar,UI 텍스트
1100001,로그인 방법,Login with,Cách đăng nhập,Bagaimana untuk log masuk,Como fazer login,Cómo iniciar sesión,
1100002,구글 로그인,Login with Google,Đăng nhập bằng Google,Log Masuk Google,Login do Google,Inicio de sesión de Google,
1100003,게스트 로그인,Login with Guest,Đăng nhập của khách,Log Masuk Tetamu,Login de convidado,Inicio de sesión de invitado,
1100004,모두 선택,Select All,Chọn tất cả,Pilih Semua,Selecionar tudo,Seleccionar todo,
1100005,동의,Agree,đồng ý,Persetujuan,consentimento,consentimiento,
1100006,랭킹,Ranking,Xếp hạng,Kedudukan,Classificação,Clasificación,
1100007,인벤토리,Inventory,Kho,Inventori,Inventário,Inventario,
1100008,설정,Setting,khung cảnh,Seting,ambiente,ajuste,
1100009,세계,Global,thế giới,Dunia,mundo,mundo,
1100010,지역,Local,khu vực,Kawasan,área,área,
1100011,소리,Sound,âm thanh,Bunyi,som,sonido,
1100012,알림,Push,thông báo,Pengumuman,anúncio,anuncio,
1100013,계정,Account,tài khoản,Akaun,conta,cuenta,
1100014,언어,Language,Ngôn ngữ,Bahasa,Idioma,Idioma,
1100015,서비스 이용약관,Terms of service,Điều khoản dịch vụ,Syarat Perkhidmatan,Termos de Serviço,Términos de servicio,
1100016,개인정보 이용정책,Privacy policy,Chính sách bảo mật,Dasar Privasi,Política de privacidade,Política de privacidad,
1100017,ON,ON,TRÊN,PADA,EM,EN,
1100018,OFF,OFF,TẮT,MATI,DESLIGADO,APAGADO,
1100019,뒤로가기,Back,Lưng,Kembali,Voltar,Atrás,
